id	osztalyid	nev	ferfi
1	76	Somfai Margit (Ulbrich Józsefné)	0
2	34	Bardóczy Attila	-1
3	76	Veszelei Mária	0
4	93	Rada Bálint	-1
5	84	Ruzsik Katalin	0
6	43	Sárvári Győző	-1
7	69	Sólyom Ildikó	0
8	66	Nagy Anna	0
9	32	Oláh Bódi Éva	0
10	64	Meszléry Judit	0
11	37	Dezsényi Péter	-1
12	17	Vasvári Emese	0
13	11	Benkő Nóra	0
14	53	Reviczky Gábor	-1
15	53	Balázs Piri Zoltán	-1
16	28	Spolarics Andrea	0
17	55	Simon Péter	-1
18	71	Fonyó József	-1
19	17	Király Attila	-1
20	70	Király Levente	-1
21	36	Karsai István	-1
22	18	Juhász Judit	0
23	59	Benedek Miklós	-1
24	12	Tallián Mariann	0
25	66	Harsányi Frigyes	-1
26	28	Kiss Erika	0
27	85	Elek Ferenc	-1
28	23	Háda János	-1
29	77	Lászlóffy Kata	0
30	33	Hirtling István	-1
31	79	Keres Emil	-1
32	92	Tóth János	-1
33	6	Janicsek Péter	-1
34	2	Cseh Judit	0
35	77	Prókai István	-1
36	80	Nagy Margit	0
37	10	Szabó Zoltán	-1
38	10	Tari Teréz	0
39	30	Palásthy Bea	0
40	50	Helyey László	-1
41	63	Vajda Márta	0
42	83	Viola Mihály	-1
43	92	Zsigmond Emőke	0
44	82	Inke László	-1
45	40	Karancz Katalin	0
46	53	Markovits Borbála	0
47	57	Fenyő Ervin	-1
48	1	Martinovics Dorina	0
49	4	Ubrankovics Júlia	0
50	39	Fehér Anna	0
51	59	Benkő Péter	-1
52	5	Kovács Ádám	-1
53	45	Faragó József	-1
54	87	Kelemen Csaba	-1
55	85	Rába Roland	-1
56	81	Kiszely Tibor	-1
57	20	Söptei Andrea	0
58	21	Széles László	-1
59	53	Borbás Gabriella	0
60	58	Bodnár Erika	0
61	29	Vajdai Vilmos	-1
62	81	Galamb Zoltán	-1
63	83	Kárpáthy Zoltán	-1
64	20	Stohl András	-1
65	8	Chován Gábor	-1
66	7	Mészáros Béla	-1
67	3	Mészáros Piroska	0
68	22	Kökényessy Ágnes	0
69	41	Dörner György	-1
70	5	Majorfalvi Bálint	-1
71	78	Sinkovits Imre	-1
72	80	Ferrari Violetta	0
73	80	Ambrus Edit	0
74	15	Anger Zsolt	-1
75	59	Pálos Zsuzsa	0
76	32	Tunyogi Péter	-1
77	15	Kéry Kitty	0
78	49	Dancsházi Hajnal	0
79	3	Szűcs Péter Pál	-1
80	1	Tompa Ádám	-1
81	67	Sinkó László	-1
82	34	Eszenyi Enikő	0
83	7	Kovács Patrícia	0
84	79	Szirtes Ádám	-1
85	3	Adorjáni Bálint	-1
86	93	Király Dániel	-1
87	38	Kulka János	-1
88	89	Bálint András	-1
89	77	Kovács János	-1
90	47	Mihályi Győző	-1
91	86	Tóth Gáspár András	-1
92	33	Juhász Róza	0
93	11	Kolovratnik Krisztián	-1
94	1	Andrássy Máté	-1
95	77	Szénási Ernő	-1
96	15	Németh Mónika	0
97	76	Brunda Mihály	-1
98	21	Náray Erika	0
99	72	Garas Dezső	-1
100	75	Simon Erika	0
101	66	S. Tóth József	-1
102	59	Balázsovits Lajos	-1
103	37	Németh János	-1
104	39	Szalma Tamás	-1
